ORIGIN,Southwest
05A,0.0
1G4,0.0
7AK,0.0
A27,0.0
A37,0.0
ABE,0.0
ABI,0.0
ABL,0.0
ABQ,0.5762042971540471
ABR,0.0
ABY,0.0
ACK,0.0
ACT,0.02143282397301052
ACV,0.0
ACY,0.0
ADK,0.0
ADQ,0.0
ADS,0.0
ADW,0.0
AET,0.0
AEX,0.0
AFW,0.0
AGN,0.0
AGS,0.0
AHN,0.0
AIA,0.0
AIN,0.0
AK5,0.0
AKB,0.0
AKI,0.0
AKK,0.0
AKN,0.0
AKP,0.0
ALB,0.4806229463924022
ALO,0.0
ALS,0.0
ALW,0.0
ALZ,0.0
AMA,0.5820298755717621
ANC,0.0
AND,0.0
ANI,0.0
ANV,0.0
AOO,0.0
AOS,0.0
APC,0.0
APN,0.0
ARA,0.0
ARC,0.0
ART,0.0
ASE,0.0
ATK,0.0
ATL,0.02020082254472612
ATT,0.0
ATW,0.0
ATY,0.0
AUG,0.0
AUK,0.0
AUS,0.3869809498520776
AVL,0.0
AVP,0.020745250577822876
AZ3,0.0
AZA,0.0
AZO,0.0
BCE,0.0
BDL,0.30723419162725524
BDR,0.0
BED,0.0
BEH,0.0
BET,0.0
BFD,0.0
BFF,0.0
BFI,0.0
BFL,0.0
BFM,0.0
BGM,0.0
BGR,0.0
BHB,0.0
BHM,0.4060446780551905
BID,0.0
BIF,0.0
BIH,0.0
BIL,0.0
BIS,0.0
BJI,0.0
BKC,0.0
BKG,0.8027340370306282
BKL,0.0
BKW,0.0
BLD,0.0
BLI,0.0
BLV,0.0
BMG,0.0
BMI,0.0
BNA,0.5827403530382333
BOI,0.2853701506489771
BOS,0.06601667373180727
BPT,0.0
BQK,0.0
BQN,0.0
BRD,0.0
BRL,0.0
BRO,0.0
BRW,0.0
BTI,0.0
BTM,0.0
BTR,0.0
BTT,0.0
BTV,0.0
BUF,0.3041677654189164
BUR,0.7520782543265613
BVU,0.0
BWD,0.0
BWI,0.606804146748109
BZN,0.0
CAE,0.0
CAK,0.10596964417762292
CDB,0.0
CDC,0.0
CDR,0.0
CDV,0.0
CEC,0.0
CEF,0.0
CEM,0.0
CEZ,0.0
CGA,0.0
CGI,0.0
CHA,0.0
CHO,0.0
CHS,0.1862967748148267
CHU,0.0
CIC,0.0
CID,0.0
CIK,0.0
CIU,0.0
CKB,0.0
CKD,0.0
CKX,0.0
CLD,0.0
CLE,0.0998809036631305
CLL,0.0
CLM,0.0
CLP,0.0
CLT,0.0
CMH,0.2965460394925089
CMI,0.016522297080526147
CMX,0.0
CNM,0.0
CNO,0.0
CNY,0.0
COD,0.0
CON,0.0
COS,0.0
COU,0.0
CPR,0.0
CRP,0.3406849629233239
CRW,0.0
CSG,0.0
CVG,0.0
CVN,0.0
CVO,0.0
CWA,0.0
CXF,0.0
CYF,0.0
CYM,0.0
CYS,0.0
CZF,0.0
CZN,0.0
DAB,0.0
DAL,0.9613046241151522
DAY,0.04896455847039919
DBQ,0.0
DCA,0.01369579804929684
DDC,0.0
DEC,0.0
DEN,0.26592331271826586
DET,0.0
DFW,0.0
DHN,0.0
DIK,0.0
DLG,0.0
DLH,0.0
DOF,0.0
DOV,0.0
DRF,0.0
DRG,0.0
DRO,0.0
DRT,0.0
DSM,0.07061783617556612
DTO,0.0
DTW,0.04423663741760354
DUJ,0.0
DUT,0.0
DVL,0.0
EAA,0.0
EAR,0.0
EAT,0.0
EAU,0.0
ECP,0.5473523689330599
EDA,0.0
EEK,0.0
EEN,0.0
EGE,0.0
EGX,0.0
EHM,0.0
EKA,0.0
EKO,0.0
ELD,0.0
ELI,0.0
ELM,0.0
ELP,0.5225419508146026
ELV,0.0
ELY,0.0
EMK,0.0
ENA,0.0
ENV,0.0
ERI,0.0
ESC,0.0
ESD,0.0
EUG,0.0
EVV,0.0
EWB,0.0
EWN,0.0
EWR,0.046884580915994525
EXI,0.0
EYW,0.20626777969500537
FAI,0.0
FAR,0.0
FAT,0.0
FAY,0.0
FCA,0.0
FKL,0.0
FLG,0.0
FLL,0.18050865873635363
FLO,0.0
FLT,0.0
FMN,0.0
FNL,0.0
FNR,0.0
FNT,0.0
FOD,0.0
FOE,0.0
FRD,0.0
FRG,0.0
FSD,0.0
FSM,0.0
FWA,0.0
FYU,0.0
FYV,0.0
GAL,0.0
GAM,0.0
GBD,0.0
GBH,0.0
GCC,0.0
GCK,0.0
GCN,0.0
GDV,0.0
GEG,0.25106020650259986
GFK,0.0
GGG,0.0
GGW,0.0
GJT,0.0
GKN,0.0
