category,text
livestock,"ARGENTINE MEAT EXPORTS LOWER IN 1986  Argentine meat exports during  Jan/Dec 1986 totalled 220,911 tonnes, against 223,204 tonnes  shipped in the same 1985 period, the National Meat board said.      Shipments in tonnes with comparative figures for the 1985  period, in brackets, included: beef 120,184 (137,686), horse  meat 25,651 (33,892) and beef offal 50,100 (47,745).      Argentina's meat exports totalled 20,481 tonnes in December  1986, against 15,801 tonnes in the same 1985 month.      Shipments in tonnes, with comparative figures for December  1985, in brackets, included: beef 14,384 (10,339), horse meat  1,609 (1,539) and beef offal 3,388 (3,098), the board said.      Main destinations for refrigerated beef (bone in  equivalent) were as follows, in tonnes, with comparative  figures for 1985 in brackets:      E.C. 46,300 (49,700), Israel 16,200 (17,600), Brazil 18,100  (unavailable), Peru 8,100 (2,300), Angola 4,800 (12,100), Chile  3,400 (8,200), Switzerland 3,000 (3,000), Canary Islands 2,400  (3,700), Singapore 1,900 (1,700), Aruba/Curazao 1,600 (1,700).      Main destinations for canned meat and cooked beef (bone in  equivalent) in tonnes, with figures for 1985 in brackets, were:  United States 88,300 (102,900), E.C. 30,700 (24,100).  "
gnp,"SPAIN REVISES ECONOMIC TARGETS FOR 1987  Spain has revised some of its main  economic targets for 1987 after studying the performance of the  economy in the first quarter, the economy ministry said in its  monthly bulletin.      Internal demand is now forecast to rise four pct against a  previous target of 3.5 pct.      Mariano Rubio, governor of the Bank of Spain, the central  bank, yesterday said internal demand was currently growing at  an annual rate of six pct and it had to be brought down to four  pct if the government were to meet its five pct inflation  target this year. Inflation was 8.3 pct in 1986.      The forecast for private consumption growth remains  unchanged at three pct, although public consumption is revised  upwards to 2.5 pct from 2.0 pct.      Growth in domestic demand will fuel imports, expected to  increase by 8.6 pct against an originally estimated 7.1 pct.      Export growth has been revised downwards to 3.7 pct from  5.2 pct due to the peseta's continuing strength against the  dollar and slack external demand.      Slow growth of exports and a tight rein on state spending  has lowered estimated GDP growth to three pct in 1987 from an  earlier forecast 3.5 pct. GDP grew by three pct last year.      The economy ministry is holding its inflation forecast to  five pct, in spite of minister Carlos Solchaga's doubts last  week on whether this target could be maintained if wage  settlements continue to rise above the government's recommended  five pct ceiling.      Unions and employers dispute the average wage increases  agreed so far this year. Trade unions calculate wage  settlements have produced average rises of 7.3 pct against 5.5  pct estimated by the employers' federation CEOE.  "
livestock,"JAPAN'S LIPC TO BUY BEEF ON APRIL 23  Japan's Livestock Industry Promotion Corp  (LIPC) said that on April 28 it will import 7,515 tonnes of  beef for the first half of the 1987 fiscal year started on  April 1 under the simultaneous buy and sell tender system,  against 6,813 a year ago.      The system calls on the agency to buy beef from trading  houses and simultaneously sell it to users in one tender. The  tender quota in April-September is 10 pct of the agency's beef  import share. Japan's beef import quota in 1987/88 was set at  93,000 tonnes against 85,000 for the same period in 1986/87.  "
gold,"SIGMA MINES DETAILS GOLD ORE RESERVES  &lt;Sigma Mines (Quebec) Ltd>, 65 pct  owned by Dome Mines Ltd, said its Sigma Mine had proven and  probable reserves at the end of 1986 of 4,902,940 tons, with an  average grade of 0.139 ounces of gold a ton.      Sigma said the reserves are equivalent to 10 years future  production at current milling rates.      The reserves comprise 1,640,779 tons proven reserves  grading an average of 0.163 ounces of gold a ton and 3,262,161  tons probable reserves grading an average of 0.127 ounces of  gold a ton.      Sigma said it changed its 1986 reserve reporting method  following Dome Mines' previously reported move to adopt general  industry practice of reporting proven and probable ore  reserves.      Prior to 1986, Sigma conservatively reported only proven  reserves that could be mined without future development costs.      Proven reserves as of December 31, 1985 were 978,000 tons  grading an average of 0.194 ounces of gold a ton, equivalent to  about two years future production.  "
gnp,"SOUTHERN EUROPE HAS STRONG DOMESTIC DEMAND GROWTH  Strong growth in domestic demand was a key  feature of the economies of southern European countries in  1986, though the growth is seen slowing this year and next, the  Organisation for Economic Cooperation and Development said.      In its semi-annual report, the OECD said Portugal's total  domestic demand growth would decline from 7.6 pct last year to  five pct in 1987 and 3.75 pct in 1988 as slower wage growth  restrained private consumption.      Turkey's economy grew much faster than expected in 1986 and  domestic demand surged 10.5 pct, but this growth was expected  to be halved to five pct next year.      In Spain, buoyant domestic demand, led by fixed investment,  had been the driving force behind rapid growth in Gross  Domestic Product. Both fixed investment and private consumption  were expected to ease during 1988 but would still remain  strong.      The OECD forecast that Spanish imports would rise sharply  next year, reflecting strong demand, entry to the European  Community and declining competitiveness.      In Greece, inflation was forecast to turn downwards  following an increase early this year linked with the  introduction of Value Added Tax and a surge in food prices due  to cold weather.  "
nat-gas,"ALLEGHENY &lt;ALGH.O> FORMING SUBSIDIARY  Allegheny and Western Energy Corp said  it was forming a subsidiary to market gas to smaller users in  West Virginia.      The company also said it completed negotiations to sell  between 10 and 12 mln cubic feet of gas per day to a large,  unspecified East Coast utility.      Interstate markets will become part of the subsidiary's  operations, the company said.  "
gnp,"TURKEY ESTIMATES 1986 GROWTH AT EIGHT PCT  Turkey's Gross National Product grew an  estimated 8.0 pct in 1986 at fixed 1968 prices, compared with  5.1 pct in 1985, the State Statistics Institute said.      Reporting full-year data, it also said Gross Domestic  Product rose 8.3 pct compared with 5.1 pct in 1985. An earlier  estimate from nine-month data put full-year GNP and GDP growth  both at 7.9 pct.      The government's GNP growth target for 1987 is five pct,  the same level it had set for 1986.      The institute estimated per capita GNP for 1986 at 1,116.6  dlrs, up from 1,045.3 dlrs in 1985.      Officials blame the high 1986 GNP growth on a surge in  domestic demand stemming partly from poorly controlled  municipal expenditures in the early part of the year.      Industry grew at 11.1 pct in real terms in 1986 compared  with 6.6 pct in 1985 while agriculture expanded 7.4 pct  compared with 2.8 pct.  "
gold,"HOMESTAKE MULLS BUYING ORE RESERVES  Homestake Mining Co is considering  acquiring more gold ore reserves in addition to the company's  exploration efforts, chief executive Harry Conger told Reuters  in an interview.      Conger said, ""the move to consider acquisitions represents  a change in the company's acquistions policy.""      Conger said all of Homestake's current cash position of 120  mln dlrs would be available to acquire reserves. In addition,  Homestake has two lines of credit totaling 150 mln dlrs which  have not been drawn on and could be used to finance an  acquisition, he said.      Conger said he anticipates 1987 exploration budget will be  about the same as 1986 spending of 27.3 mln dlrs.      Conger said exploration for precious metals may be slightly  higher than last year's spending of 17.7 mln dlrs while oil and  gas exploration spending will be slightly less than last year's  9.6 pct.      Conger said he sees Homestake's 1987 gold production about  the same as 1986 gold production of 669,594 ounces.      However, 1987 first quarter production from its McLaughlin  reserve will be about 10 pct lower than last year's 45,400  ounces due to start-up production problems.      He said he believes gold prices will hold above the 400  U.S. dlr an ounce level for the rest of 1987.  "
gold,"SPHINX MINING &lt;SPNXF.O> FINDS GOLD  Sphinx Mining Inc said leased  mining claims in Alaska could produce revenues between 322 mln  dlrs and 966 mln dlrs from gold reserves.      The range of the value of the reserves is attributed to the  wide range of grade estimates of the ore, the company said.      A 1984 feasibility study put the grade at 0.008 ounces per  cubic yard, while subsequent exploration work proved that areas  of higher-grade gravel of up to 0.027 ounces/yard do exist,  Sphinx said.      The claims are located 80 miles northwest of Fairbanks.  "
gnp,"ECONOMIC GROWTH SEEN SLUGGISH IN BENELUX COUNTRIES  Economic growth will remain sluggish in  the Netherlands and Belgium next year and unemployment may  rise, the Organisation for Economic Cooperation and Development  forecast.      Belgium's GDP growth may slow down to 1.5 pct this year and  next year, bringing a rise in the number of jobless, the OECD  said in its semi-annual survey. Belgian inflation could  stabilise at 1.5 to 2.0 pct, while the current account surplus  will probably remain large at about three pct of GDP.      While the Belgian government has made progress in trimming  its borrowing requirement, ""it will probably be insufficient to  check the self-sustaining nature of the deficit,"" the OECD said.      In the Netherlands real GDP growth will also slip to 1.5  pct this year and one pct in 1988, with Dutch exports becoming  less competitive and imports rising. ""Employment is forecast to  decelerate as well, reflecting more sluggish growth in the  private sector and budgetary cuts,"" the report said.      Dutch consumer prices are set to fall by 0.5 pct in 1987  and stay stable in 1988, partly as a result of declining  domestic gas prices.      Luxembourg's economy, by contrast, will see slightly faster  growth in GDP this year as a result of an upward movement in  wages. But real growth in consumption will ease next year.  "
